cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125492,72436,626723276,144093,413059232,0,6278016,413059232,92992,0,540475392,45639049216,907034624,4063965664
aten::_flash_attention_forward,2268616,0,3953568,67591,2188896,0,7328,2188896,43264,0,67125248,570425344,99893248,2457600
aten::cat,2184968,0,3456624,3241672,2162696,0,8,2162696,2162704,0,0,0,0,0
aten::mul,265372,0,1244016,163360,145700,0,7054,145700,104736,0,0,0,0,0
aten::mean,137120,0,882056,1080,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127916,0,707248,76842,49988,0,0,49988,49942,0,0,0,0,0
aten::add,100600,0,384651,51460,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43800,0,305028,13285,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,129968,50850,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35264,0,140421,32319,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12932,0,102128,1118,130,0,0,130,65,0,0,0,0,0
aten::all,1696,0,13511,20,6,0,0,6,1,0,0,0,0,0
aten::cos,1260,0,9986,47,16,0,0,16,16,0,0,0,0,0
aten::sin,1256,0,9922,47,16,0,0,16,16,0,0,0,0,0
aten::index_select,408,0,1822,391,258,0,31,258,256,0,0,0,0,0
aten::bmm,196,0,1530,29,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
