cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413126324,67332,626723856,144348,413075820,0,6262728,413075820,92992,0,540475392,45639049216,907034624,4064286080
aten::_flash_attention_forward,1154168,0,2156952,643733,1089536,0,0,1089536,402432,0,33554432,335544320,49807360,1261568
aten::cat,1119968,0,1867774,1648000,1097736,0,8,1097736,1097744,0,0,0,0,0
aten::mul,265224,0,1245500,164466,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137132,0,882346,1082,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,128012,0,708447,79303,49972,0,0,49972,49940,0,0,0,0,0
aten::add,100516,0,390130,55242,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43836,0,306968,13278,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,134480,51197,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35236,0,138991,34248,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,13048,0,102067,1007,130,0,0,130,65,0,0,0,0,0
aten::all,1692,0,13529,16,4,0,0,4,1,0,32,0,96,0
aten::cos,1260,0,9969,34,16,0,0,16,16,0,0,0,0,0
aten::sin,1256,0,9905,34,16,0,0,16,16,0,0,0,0,0
aten::index_select,408,0,1822,410,260,0,30,260,256,0,0,0,0,0
aten::bmm,192,0,1530,24,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
