cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125520,67620,626722726,145610,413066424,0,6269776,413066424,92992,0,540475392,45639049216,907034624,4064273680
aten::_flash_attention_forward,1170548,0,2181636,643213,1105920,0,0,1105920,402432,0,33554432,335544320,49545216,1261568
aten::cat,1136392,0,1895168,1674864,1114120,0,8,1114120,1114128,0,0,0,0,0
aten::mul,265384,0,1248207,158666,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137092,0,882058,1085,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127832,0,706745,77007,49972,0,0,49972,49940,0,0,0,0,0
aten::add,100564,0,381848,52950,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43816,0,305808,13290,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,130073,50752,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35216,0,143295,34239,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12920,0,101994,1020,130,0,0,130,65,0,0,0,0,0
aten::all,1688,0,13525,16,4,0,0,4,1,0,32,0,96,0
aten::cos,1260,0,9970,34,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,34,16,0,0,16,16,0,0,0,0,0
aten::index_select,408,0,1774,410,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,24,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
