cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125360,68428,626722656,145026,413064016,0,6272840,413064016,92992,0,540475392,45639049216,907034624,4064008816
aten::_flash_attention_forward,1137804,0,2131472,643221,1073152,0,0,1073152,402432,0,33554432,335544320,50069504,1261568
aten::cat,1103640,0,1841038,1623040,1081352,0,8,1081352,1081360,0,0,0,0,0
aten::mul,265396,0,1247392,159461,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137088,0,882050,1082,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127904,0,708184,77167,49972,0,0,49972,49940,0,0,0,0,0
aten::add,100632,0,383714,51847,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43776,0,305342,13294,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42924,0,130504,51280,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35244,0,144470,31215,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12916,0,101994,987,130,0,0,130,65,0,0,0,0,0
aten::all,1688,0,13525,16,4,0,0,4,1,0,32,0,96,0
aten::cos,1260,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9905,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,400,0,1814,423,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,23,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
