cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125596,69796,626723186,143275,413068964,0,6269268,413068964,92992,0,540475392,45639049216,907034624,4064220608
aten::_flash_attention_forward,613428,0,1344352,537701,548864,0,0,548864,336896,0,33554432,167772160,41680896,737280
aten::cat,579332,0,1054948,836550,557064,0,8,557064,557072,0,0,0,0,0
aten::mul,265344,0,1250275,168548,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137112,0,882058,1079,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127856,0,709168,78843,49964,0,0,49964,49939,0,0,0,0,0
aten::add,100588,0,386374,52328,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43776,0,305496,13299,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42948,0,133833,50909,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35248,0,139487,35981,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12944,0,102018,995,130,0,0,130,65,0,0,0,0,0
aten::all,1688,0,13524,19,2,0,1,2,1,0,0,0,0,0
aten::cos,1264,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,408,0,1774,407,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,24,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,17,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
