cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125484,70068,626722888,145064,413061556,0,6273776,413061556,92992,0,540475392,45639049216,907034624,4064315840
aten::_flash_attention_forward,646196,0,1393664,537490,581632,0,0,581632,336896,0,33554432,167772160,41156608,737280
aten::cat,612132,0,1102455,886300,589832,0,8,589832,589840,0,0,0,0,0
aten::mul,265452,0,1243647,160608,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137120,0,882056,1077,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127888,0,704178,76254,49964,0,0,49964,49939,0,0,0,0,0
aten::add,100552,0,387028,50661,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43804,0,305368,11254,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42924,0,127080,48678,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35228,0,140399,30703,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12940,0,102003,984,130,0,0,130,65,0,0,0,0,0
aten::all,1688,0,13524,16,2,0,1,2,1,0,0,0,0,0
aten::cos,1260,0,9970,34,16,0,0,16,16,0,0,0,0,0
aten::sin,1256,0,9938,34,16,0,0,16,16,0,0,0,0,0
aten::index_select,416,0,1782,410,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,26,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
