cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125160,69868,626722972,142967,413062240,0,6276144,413062240,92992,0,540475392,45639049216,907034624,4064301952
aten::_flash_attention_forward,16981916,40,26050976,149017,16904820,0,29500,16904820,98448,0,167825408,2566914048,200855552,22360512
aten::cat,16848872,16,25454469,25251009,16826376,0,8,16826376,16826384,0,0,0,0,0
aten::mul,265388,0,1239918,160875,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137100,0,881970,1073,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,128052,0,705231,77933,50212,0,0,50212,49970,0,0,0,0,0
aten::add,100560,0,377278,50136,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43808,0,304442,13279,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42928,0,129934,50822,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35212,0,142331,30882,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12984,0,102035,981,130,0,0,130,65,0,0,0,0,0
aten::all,1716,0,13539,16,34,0,0,34,1,0,224,0,480,0
aten::cos,1264,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,420,0,1782,407,260,0,30,260,256,0,0,0,0,0
aten::bmm,204,0,1538,22,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
