cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125416,69044,626723182,144918,413066528,0,6269700,413066528,92992,0,540475392,45639049216,907034624,4064333696
aten::_flash_attention_forward,16998452,0,26093174,148092,16923244,0,27660,16923244,98352,0,167825408,2566914048,200593408,22505776
aten::cat,16865388,52,25490862,25265030,16842760,0,8,16842760,16842768,0,0,0,0,0
aten::mul,265212,0,1249112,163758,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137088,0,882050,1091,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,128088,0,705962,76976,50212,0,0,50212,49970,0,0,0,0,0
aten::add,100572,0,383658,51907,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43900,0,305384,11300,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42908,0,130008,50818,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35272,0,142362,35204,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12932,0,102001,1005,130,0,0,130,65,0,0,0,0,0
aten::all,1716,0,13539,16,34,0,0,34,1,0,224,0,480,0
aten::cos,1260,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,416,0,1782,407,260,0,30,260,256,0,0,0,0,0
aten::bmm,204,0,1538,21,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,17,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
