cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125080,65056,626722798,144853,413065240,0,6271888,413065240,92992,0,540475392,45639049216,907034624,4064536064
aten::_flash_attention_forward,16965464,40,26038800,146430,16890588,0,27536,16890588,98404,0,167825408,2566914048,201117696,22537840
aten::cat,16832596,16,25445638,25204116,16809992,0,8,16809992,16810000,0,0,0,0,0
aten::mul,265452,0,1247368,163254,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137124,0,882192,1074,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,128076,0,705964,76963,50212,0,0,50212,49970,0,0,0,0,0
aten::add,100552,0,383722,51913,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43840,0,305356,13289,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42908,0,130008,50806,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35208,0,142332,35205,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12932,0,102009,958,130,0,0,130,65,0,0,0,0,0
aten::all,1716,0,13539,16,34,0,0,34,1,0,224,0,480,0
aten::cos,1260,0,9970,34,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9930,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,416,0,1782,410,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,24,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
