cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125260,72760,626722856,142646,413062440,0,6273744,413062440,92992,0,540475392,45639049216,907034624,4064641712
aten::_flash_attention_forward,4365664,0,7098248,91652,4290336,0,11424,4290336,60672,0,100691968,855638016,133722112,4702208
aten::cat,4265784,0,6582132,6363865,4243464,0,8,4243464,4243472,0,0,0,0,0
aten::mul,265356,0,1243817,158634,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137092,0,877818,1088,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127992,0,705549,75440,50020,0,0,50020,49946,0,0,0,0,0
aten::add,100600,0,382564,49872,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43792,0,305248,13293,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,125696,50526,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35212,0,141858,30884,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12984,0,102105,1035,130,0,0,130,65,0,0,0,0,0
aten::all,1696,0,13515,16,10,0,0,10,1,0,32,0,96,0
aten::cos,1260,0,9969,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,416,0,1782,423,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,21,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
