cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413126140,70812,626723704,144037,413065220,0,6269580,413065220,92992,0,540475392,45639049216,907034624,4063932432
aten::_flash_attention_forward,4382060,0,7138776,89674,4309248,0,8896,4309248,60672,0,100691968,855638016,133459968,4702208
aten::cat,4282192,0,6602728,6391214,4259848,0,8,4259848,4259856,0,0,0,0,0
aten::mul,265292,0,1248085,166362,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137124,0,882076,1484,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127936,0,705868,76761,50020,0,0,50020,49946,0,0,0,0,0
aten::add,100584,0,383602,49976,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43788,0,304318,11298,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,129904,50947,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35240,0,140419,36164,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,13004,0,102065,1020,130,0,0,130,65,0,0,0,0,0
aten::all,1696,0,13515,19,10,0,0,10,1,0,32,0,96,0
aten::cos,1260,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9905,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,420,0,1830,423,260,0,30,260,256,0,0,0,0,0
aten::bmm,192,0,1530,21,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
