cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125244,67904,626722870,144819,413064260,0,6272592,413064260,92992,0,540475392,45639049216,907034624,4064388256
aten::_flash_attention_forward,8576864,0,13459172,146918,8501796,0,27607,8501796,97588,0,167825408,1426063360,201117696,12062816
aten::cat,8443800,0,12843878,12617949,8421384,0,8,8421384,8421392,0,0,0,0,0
aten::mul,265444,0,1247433,158821,145570,0,7119,145570,104736,0,0,0,0,0
aten::mean,137108,0,882104,1088,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127996,0,707960,76980,50084,0,0,50084,49954,0,0,0,0,0
aten::add,100620,0,383730,51909,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43856,0,305400,13287,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42916,0,130152,50694,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35240,0,144330,31362,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12944,0,101985,976,130,0,0,130,65,0,0,0,0,0
aten::all,1704,0,13523,16,18,0,0,18,1,0,96,0,224,0
aten::cos,1264,0,9970,47,16,0,0,16,16,0,0,0,0,0
aten::sin,1256,0,9906,47,16,0,0,16,16,0,0,0,0,0
aten::index_select,420,0,1782,391,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,23,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
